Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,500,586,117,5234,705.18,0.000%,77.01787,12.03,11.06,160.0
user_info_2,500,702,122,4052,720.41,0.000%,72.87567,27.19,17.36,382.0
user_info_3,500,742,122,4957,737.05,0.000%,65.16356,16.61,15.53,261.0
object_info_1,500,754,124,5243,736.10,0.000%,65.18905,13.37,10.31,210.0
object_info_2,500,655,115,5255,601.93,0.000%,65.34239,24.38,10.34,382.0
object_info_3,500,680,116,5250,657.26,0.000%,66.07638,21.36,10.45,331.0
object_info_4,500,607,116,4001,594.76,0.000%,67.56757,13.26,10.69,201.0
TOTAL,3500,675,115,5255,683.86,0.000%,413.71158,111.22,74.05,275.3
