Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,250,235,115,1302,107.66,0.000%,74.47125,11.64,10.69,160.0
user_info_2,250,243,122,1297,94.65,0.000%,70.66139,26.36,16.84,382.0
user_info_3,250,255,122,882,84.37,0.000%,64.56612,16.46,15.38,261.0
object_info_1,250,255,135,1303,95.98,0.000%,63.97134,13.12,10.12,210.0
object_info_2,250,252,132,1126,87.28,0.000%,58.99009,22.01,9.33,382.0
object_info_3,250,245,120,1291,114.70,0.000%,59.86590,19.35,9.47,331.0
object_info_4,250,238,116,1238,103.65,0.000%,60.72383,11.92,9.61,201.0
TOTAL,1750,246,115,1303,99.13,0.000%,345.78147,92.96,61.89,275.3
